date,ticker,open,high,low,close,volume,adjclose
5/28/2021,GOOG,2421.959961,2428.139893,2407.689941,2411.560059,1205400,2411.560059
6/1/2021,GOOG,2422,2437.970947,2404.879883,2429.810059,958300,2429.810059
6/2/2021,GOOG,2435.310059,2442,2404.199951,2421.280029,857900,2421.280029
6/3/2021,GOOG,2395.02002,2409.745117,2382.830078,2404.610107,917300,2404.610107
6/4/2021,GOOG,2422.52002,2453.858887,2417.77002,2451.76001,1297400,2451.76001
6/7/2021,GOOG,2451.320068,2468,2441.072998,2466.090088,1192500,2466.090088
6/8/2021,GOOG,2479.899902,2494.495117,2468.23999,2482.850098,1253000,2482.850098
6/9/2021,GOOG,2499.5,2505,2487.330078,2491.399902,1006300,2491.399902
6/10/2021,GOOG,2494.01001,2523.26001,2494,2521.600098,1561700,2521.600098
6/11/2021,GOOG,2524.919922,2526.98999,2498.290039,2513.929932,1262000,2513.929932
6/14/2021,GOOG,2513.389893,2528.22998,2500.939941,2527.040039,1127500,2527.040039
6/15/2021,GOOG,2530.439941,2537.23999,2512.969971,2520.659912,1109100,2520.659912
6/16/2021,GOOG,2524.949951,2530.469971,2482.999023,2513.929932,1315800,2513.929932
6/17/2021,GOOG,2510.459961,2543.929932,2510.300049,2527.419922,1287800,2527.419922
6/18/2021,GOOG,2514.110107,2527.780029,2492.060059,2511.350098,2665300,2511.350098
6/21/2021,GOOG,2514.800049,2540.735107,2502.685059,2529.100098,1312800,2529.100098
6/22/2021,GOOG,2529,2545.399902,2520.530029,2539.98999,1049200,2539.98999
6/23/2021,GOOG,2531,2555.919922,2525.040039,2529.22998,984700,2529.22998
6/24/2021,GOOG,2541.070068,2550.709961,2539.199951,2545.639893,946700,2545.639893
6/25/2021,GOOG,2539.139893,2550.100098,2528.879883,2539.899902,1674200,2539.899902
6/28/2021,GOOG,2540,2546.73999,2519.476074,2536.389893,1405500,2536.389893
6/29/2021,GOOG,2535.449951,2540,2508.73999,2520.370117,1047500,2520.370117
6/30/2021,GOOG,2513.071045,2516,2495.149902,2506.320068,1200300,2506.320068
7/1/2021,GOOG,2496.995117,2529.25,2496.995117,2527.370117,856000,2527.370117
7/2/2021,GOOG,2536.790039,2576.959961,2535.379883,2574.379883,1058000,2574.379883
7/6/2021,GOOG,2588.98999,2597.689941,2568.179932,2595.419922,1067500,2595.419922
7/7/2021,GOOG,2606.820068,2612.798096,2595.199951,2601.550049,834000,2601.550049
7/8/2021,GOOG,2565,2600.649902,2560.800049,2583.540039,989000,2583.540039
7/9/2021,GOOG,2578.889893,2596.98999,2578.870117,2591.48999,755300,2591.48999
7/12/2021,GOOG,2596.669922,2615.399902,2592,2611.280029,847200,2611.280029
7/13/2021,GOOG,2617.629883,2640.840088,2612.73999,2619.889893,830900,2619.889893
7/14/2021,GOOG,2638.030029,2659.919922,2637.959961,2641.649902,895600,2641.649902
7/15/2021,GOOG,2650,2651.899902,2611.959961,2625.330078,829300,2625.330078
7/16/2021,GOOG,2632.820068,2643.659912,2616.429932,2636.909912,742800,2636.909912
7/19/2021,GOOG,2623.110107,2624.939941,2570.73999,2585.080078,1285500,2585.080078
7/20/2021,GOOG,2600.080078,2640.0271,2583.768066,2622.030029,954200,2622.030029
7/21/2021,GOOG,2615.73999,2652.344971,2612.030029,2652.01001,737100,2652.01001
7/22/2021,GOOG,2653,2670.090088,2648,2666.570068,680400,2666.570068
7/23/2021,GOOG,2705.199951,2776.169922,2694.01001,2756.320068,1318900,2756.320068
7/26/2021,GOOG,2765,2794.26001,2753.02002,2792.889893,1152600,2792.889893
7/27/2021,GOOG,2800.219971,2800.219971,2702,2735.929932,2108200,2735.929932
7/28/2021,GOOG,2771.23999,2793.52002,2727,2727.629883,2734400,2727.629883
7/29/2021,GOOG,2727.612061,2743.030029,2722.76001,2730.810059,964200,2730.810059
7/30/2021,GOOG,2710.219971,2715.427002,2696.283936,2704.419922,1196600,2704.419922
8/2/2021,GOOG,2709.689941,2720.409912,2693.389893,2719.790039,1007000,2719.790039
8/3/2021,GOOG,2720,2726.709961,2683.669922,2725.600098,953200,2725.600098
8/4/2021,GOOG,2724.98999,2730.76001,2708.300049,2720.570068,826400,2720.570068
8/5/2021,GOOG,2720.570068,2739,2712,2738.800049,593300,2738.800049
8/6/2021,GOOG,2725.899902,2741.601074,2720.929932,2740.719971,678000,2740.719971
8/9/2021,GOOG,2738.97998,2766.429932,2728.574951,2760.040039,618700,2760.040039
8/10/2021,GOOG,2761.590088,2771.030029,2744.530029,2761.929932,801700,2761.929932
8/11/2021,GOOG,2765.659912,2776.955078,2747,2753.790039,760200,2753.790039
8/12/2021,GOOG,2754.26001,2768.360107,2735.580078,2767.790039,732300,2767.790039
8/13/2021,GOOG,2767.149902,2773.47998,2760.100098,2768.120117,628600,2768.120117
8/16/2021,GOOG,2760,2779.810059,2723.314941,2778.320068,902000,2778.320068
8/17/2021,GOOG,2763.820068,2774.370117,2735.75,2746.01001,1063600,2746.01001
8/18/2021,GOOG,2742.310059,2765.879883,2728.419922,2731.399902,746700,2731.399902
8/19/2021,GOOG,2709.350098,2749.040039,2707.120117,2738.27002,914800,2738.27002
8/20/2021,GOOG,2741.659912,2772.290039,2729.340088,2768.73999,778200,2768.73999
8/23/2021,GOOG,2779.969971,2843.540039,2774.958984,2821.98999,1054500,2821.98999
